animal	sire	dam	born	sex	herd	status	cause	died	TBV	recessives
	1499480	1420563	1455485	17	M	30	A		-1	4505.47548387	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1652625	1524627	1516013	18	M	5	A		-1	4505.5697928	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1545737	1420013	1410539	17	M	190	A		-1	4505.82527497	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1667249	1525251	1557646	18	M	13	A		-1	4506.0015507	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1662095	1525065	1559946	18	M	134	A		-1	4506.16815434	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1624051	1523193	1477766	18	M	66	A		-1	4506.42693216	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1596713	1594452	1549265	18	M	186	A		-1	4506.51715919	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1625963	1523456	1440260	18	M	109	A		-1	4506.98851788	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1631486	1523618	1572213	18	M	10	A		-1	4507.4231622	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1691257	1526983	1557320	18	M	174	A		-1	4507.95986953	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1606706	1522905	1557668	18	M	149	A		-1	4507.98586576	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1635164	1523870	1566466	18	M	195	A		-1	4508.19640001	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1652355	1524627	1541911	18	M	194	A		-1	4508.47002842	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1650803	1524627	1570520	18	M	160	A		-1	4509.09414521	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1682623	1526221	1538355	18	M	196	A		-1	4509.16582176	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1671053	1526047	1564353	18	M	156	A		-1	4509.1807177	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1623413	1523193	1498557	18	M	77	A		-1	4509.37009153	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1660353	1525065	1573336	18	M	48	A		-1	4509.40574851	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1601155	1525631	1563321	18	M	49	A		-1	4509.57890793	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1598556	1594452	1592408	18	M	29	A		-1	4509.67812038	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1636926	1523870	1554274	18	M	167	A		-1	4509.69916279	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1603585	1525631	1511517	18	M	66	A		-1	4509.73547286	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1643294	1524058	1305692	18	M	127	A		-1	4509.8691035	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1626667	1523456	1546428	18	M	20	A		-1	4509.92495959	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1665934	1525251	1527794	18	M	149	A		-1	4510.25422668	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1596828	1594452	1528668	18	M	111	A		-1	4510.52984448	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1602473	1525631	1543795	18	M	182	A		-1	4510.53948593	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1665469	1525251	1499623	18	M	22	A		-1	4510.67627672	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1635729	1523870	1399227	18	M	181	A		-1	4510.89911124	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1674384	1526047	1527097	18	M	200	A		-1	4510.94764058	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1650432	1524627	1531241	18	M	1	A		-1	4511.06691629	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1621183	1523193	1507671	18	M	146	A		-1	4511.08474109	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1599483	1525631	1581639	18	M	187	A		-1	4511.10305409	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1525065	1419579	1477727	17	M	89	A		-1	4511.61927993	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1620709	1523193	1567807	18	M	51	A		-1	4511.94406995	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1613042	1523001	1563173	18	M	97	A		-1	4511.96062859	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1662998	1525065	1523638	18	M	99	A		-1	4512.26508178	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1619574	1523193	1523472	18	M	160	A		-1	4512.37154674	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1644586	1524439	1522918	18	M	98	A		-1	4512.53768415	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
