animal	sire	dam	born	sex	herd	status	cause	died	TBV	recessives
	1247070	1125078	996379	14	M	66	A		-1	3615.86323552	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1282821	1125400	1157194	14	M	39	A		-1	3616.03386062	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1269185	1125131	1129715	14	M	63	A		-1	3616.25062331	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1257080	1125121	1173928	14	M	144	A		-1	3616.26009339	[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
	1288566	1125445	1114772	14	M	134	A		-1	3616.39576828	[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]
	1261993	1125129	1146846	14	M	4	A		-1	3616.51394753	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1275989	1126353	1157373	14	M	122	A		-1	3616.64148957	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1242255	1125069	1171833	14	M	155	A		-1	3618.25801301	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1229604	1124678	1037295	14	M	27	A		-1	3618.5286685	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1250786	1125098	1095924	14	M	63	A		-1	3618.65097032	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1254266	1125098	1060590	14	M	61	A		-1	3618.69501967	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1258030	1125121	1128045	14	M	170	A		-1	3618.87865122	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1244535	1125069	1115211	14	M	96	A		-1	3619.77145423	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1288497	1125445	1178655	14	M	84	A		-1	3620.13507793	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1285962	1125445	1022749	14	M	53	A		-1	3620.51707092	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
